Model,Best Val Accuracy,Best Val Loss,Final Train Accuracy,Final Val Accuracy,Test Accuracy,Test Loss
Custom CNN,0.8695651888847351,0.4026660919189453,0.909937858581543,0.8695651888847351,0.8550724387168884,0.3495151996612549
MobileNetV2 (Frozen),0.95652174949646,0.15490156412124634,0.97826087474823,0.9275362491607666,0.9710144996643066,0.11789362132549286
MobileNetV2 (Fine-Tuned),0.9855072498321533,0.13390183448791504,0.9596273303031921,0.9855072498321533,0.9710144996643066,0.11019279807806015
