Model,Accuracy,Size (MB),Speed (ms),FPS
CNN,0.8550724387168884,148.12619018554688,88.81757259368896,11.25903321603563
Fine-Tuned,0.9710144996643066,23.875656127929688,206.74196481704712,4.836947355535358
